,char,unicode
395,出,0x51fa
396,出,0x51fa
397,出,0x51fa
398,出,0x51fa
399,出,0x51fa
400,切,0x5207
401,切,0x5207
402,切,0x5207
403,切,0x5207
404,切,0x5207
405,切,0x5207
406,切,0x5207
407,切,0x5207
408,切,0x5207
409,切,0x5207
410,列,0x5217
411,列,0x5217
412,列,0x5217
413,列,0x5217
414,列,0x5217
415,列,0x5217
416,列,0x5217
417,列,0x5217
418,列,0x5217
419,列,0x5217
420,別,0x5225
421,別,0x5225
422,別,0x5225
423,別,0x5225
424,別,0x5225
425,別,0x5225
426,別,0x5225
427,別,0x5225
428,別,0x5225
429,別,0x5225
430,制,0x5236
431,制,0x5236
432,制,0x5236
433,制,0x5236
434,制,0x5236
435,制,0x5236
436,制,0x5236
437,制,0x5236
438,制,0x5236
439,制,0x5236
440,割,0x5272
441,割,0x5272
442,割,0x5272
443,割,0x5272
444,割,0x5272
445,割,0x5272
446,割,0x5272
447,割,0x5272
448,割,0x5272
449,割,0x5272
450,劇,0x5287
451,劇,0x5287
452,劇,0x5287
453,劇,0x5287
454,劇,0x5287
455,劇,0x5287
456,劇,0x5287
457,劇,0x5287
458,劇,0x5287
459,劇,0x5287
460,力,0x529b
461,力,0x529b
462,力,0x529b
463,力,0x529b
464,力,0x529b
465,力,0x529b
466,力,0x529b
467,力,0x529b
468,力,0x529b
469,力,0x529b
470,加,0x52a0
471,加,0x52a0
472,加,0x52a0
473,加,0x52a0
474,加,0x52a0
475,加,0x52a0
476,加,0x52a0
477,加,0x52a0
478,加,0x52a0
479,加,0x52a0
480,合,0x5408
481,合,0x5408
482,合,0x5408
483,合,0x5408
484,合,0x5408
485,合,0x5408
486,合,0x5408
487,合,0x5408
488,合,0x5408
489,合,0x5408
490,全,0x5168
491,全,0x5168
492,全,0x5168
493,全,0x5168
494,全,0x5168
495,全,0x5168
496,全,0x5168
497,全,0x5168
498,全,0x5168
499,全,0x5168
500,化,0x5316
501,化,0x5316
502,化,0x5316
503,化,0x5316
504,化,0x5316
505,化,0x5316
506,化,0x5316
507,化,0x5316
508,化,0x5316
509,化,0x5316
510,付,0x4ed8
511,付,0x4ed8
512,付,0x4ed8
513,付,0x4ed8
514,付,0x4ed8
515,付,0x4ed8
516,付,0x4ed8
517,付,0x4ed8
518,付,0x4ed8
519,付,0x4ed8
520,代,0x4ee3
521,代,0x4ee3
522,代,0x4ee3
523,代,0x4ee3
524,代,0x4ee3
525,代,0x4ee3
526,代,0x4ee3
527,代,0x4ee3
528,代,0x4ee3
529,代,0x4ee3
530,伝,0x4f1d
531,伝,0x4f1d
532,伝,0x4f1d
533,伝,0x4f1d
534,伝,0x4f1d
535,伝,0x4f1d
536,伝,0x4f1d
537,伝,0x4f1d
538,伝,0x4f1d
539,伝,0x4f1d
540,件,0x4ef6
541,件,0x4ef6
542,件,0x4ef6
543,件,0x4ef6
544,件,0x4ef6
545,件,0x4ef6
546,件,0x4ef6
547,件,0x4ef6
548,件,0x4ef6
549,件,0x4ef6
550,任,0x4efb
551,任,0x4efb
552,任,0x4efb
553,任,0x4efb
554,任,0x4efb
555,任,0x4efb
556,任,0x4efb
557,任,0x4efb
558,任,0x4efb
559,任,0x4efb
560,休,0x4f11
561,休,0x4f11
562,休,0x4f11
563,休,0x4f11
564,休,0x4f11
565,休,0x4f11
566,休,0x4f11
567,休,0x4f11
568,休,0x4f11
569,休,0x4f11
570,位,0x4f4d
571,位,0x4f4d
572,位,0x4f4d
573,位,0x4f4d
574,位,0x4f4d
575,位,0x4f4d
576,位,0x4f4d
577,位,0x4f4d
578,位,0x4f4d
579,位,0x4f4d
580,何,0x4f55
581,何,0x4f55
582,何,0x4f55
583,何,0x4f55
584,何,0x4f55
585,何,0x4f55
586,何,0x4f55
587,何,0x4f55
588,何,0x4f55
589,何,0x4f55
590,佐,0x4f50
591,佐,0x4f50
592,佐,0x4f50
593,佐,0x4f50
594,佐,0x4f50
595,佐,0x4f50
596,佐,0x4f50
597,佐,0x4f50
598,佐,0x4f50
599,佐,0x4f50
600,助,0x52a9
601,助,0x52a9
602,助,0x52a9
603,助,0x52a9
604,助,0x52a9
605,助,0x52a9
606,助,0x52a9
607,助,0x52a9
608,助,0x52a9
609,助,0x52a9
610,労,0x52b4
611,労,0x52b4
612,労,0x52b4
613,労,0x52b4
614,労,0x52b4
615,労,0x52b4
616,労,0x52b4
617,労,0x52b4
618,労,0x52b4
619,労,0x52b4
620,働,0x50cd
621,働,0x50cd
622,働,0x50cd
623,働,0x50cd
624,働,0x50cd
625,働,0x50cd
626,働,0x50cd
627,働,0x50cd
628,働,0x50cd
629,働,0x50cd
630,務,0x52d9
631,務,0x52d9
632,務,0x52d9
633,務,0x52d9
634,務,0x52d9
635,務,0x52d9
636,務,0x52d9
637,務,0x52d9
638,務,0x52d9
639,務,0x52d9
640,医,0x533b
641,医,0x533b
642,医,0x533b
643,医,0x533b
644,医,0x533b
645,医,0x533b
646,医,0x533b
647,医,0x533b
648,医,0x533b
649,医,0x533b
650,半,0x534a
651,半,0x534a
652,半,0x534a
653,半,0x534a
654,半,0x534a
655,半,0x534a
656,半,0x534a
657,半,0x534a
658,半,0x534a
659,半,0x534a
660,協,0x5354
661,協,0x5354
662,協,0x5354
663,協,0x5354
664,協,0x5354
665,協,0x5354
666,協,0x5354
667,協,0x5354
668,協,0x5354
669,協,0x5354
670,反,0x53cd
671,反,0x53cd
672,反,0x53cd
673,反,0x53cd
674,反,0x53cd
675,反,0x53cd
676,反,0x53cd
677,反,0x53cd
678,反,0x53cd
679,反,0x53cd
680,対,0x5bfe
681,対,0x5bfe
682,対,0x5bfe
683,対,0x5bfe
684,対,0x5bfe
685,対,0x5bfe
686,対,0x5bfe
687,対,0x5bfe
688,対,0x5bfe
689,対,0x5bfe
690,原,0x539f
691,原,0x539f
692,原,0x539f
693,原,0x539f
694,原,0x539f
695,原,0x539f
696,原,0x539f
697,原,0x539f
698,原,0x539f
699,原,0x539f
700,去,0x53bb
701,去,0x53bb
702,去,0x53bb
703,去,0x53bb
704,去,0x53bb
705,去,0x53bb
706,去,0x53bb
707,去,0x53bb
708,去,0x53bb
709,去,0x53bb
710,収,0x53ce
711,収,0x53ce
712,収,0x53ce
713,収,0x53ce
714,収,0x53ce
715,収,0x53ce
716,収,0x53ce
717,収,0x53ce
718,収,0x53ce
719,収,0x53ce
720,作,0x4f5c
721,作,0x4f5c
722,作,0x4f5c
723,作,0x4f5c
724,作,0x4f5c
725,作,0x4f5c
726,作,0x4f5c
727,作,0x4f5c
728,作,0x4f5c
729,作,0x4f5c
730,住,0x4f4f
731,住,0x4f4f
732,住,0x4f4f
733,住,0x4f4f
734,住,0x4f4f
735,住,0x4f4f
736,住,0x4f4f
737,住,0x4f4f
738,住,0x4f4f
739,住,0x4f4f
740,体,0x4f53
741,体,0x4f53
742,体,0x4f53
743,体,0x4f53
744,体,0x4f53
745,体,0x4f53
746,体,0x4f53
747,体,0x4f53
748,体,0x4f53
749,体,0x4f53
750,使,0x4f7f
751,使,0x4f7f
752,使,0x4f7f
753,使,0x4f7f
754,使,0x4f7f
755,使,0x4f7f
756,使,0x4f7f
757,使,0x4f7f
758,使,0x4f7f
759,使,0x4f7f
760,供,0x4f9b
761,供,0x4f9b
762,供,0x4f9b
763,供,0x4f9b
764,供,0x4f9b
765,供,0x4f9b
766,供,0x4f9b
767,供,0x4f9b
768,供,0x4f9b
769,供,0x4f9b
770,価,0x4fa1
771,価,0x4fa1
772,価,0x4fa1
773,価,0x4fa1
774,価,0x4fa1
775,価,0x4fa1
776,価,0x4fa1
777,価,0x4fa1
778,価,0x4fa1
779,価,0x4fa1
780,保,0x4fdd
781,保,0x4fdd
782,保,0x4fdd
783,保,0x4fdd
784,保,0x4fdd
785,保,0x4fdd
786,保,0x4fdd
787,保,0x4fdd
788,保,0x4fdd
789,保,0x4fdd
790,信,0x4fe1
791,信,0x4fe1
792,信,0x4fe1
793,信,0x4fe1
794,信,0x4fe1
795,信,0x4fe1
796,信,0x4fe1
797,信,0x4fe1
798,信,0x4fe1
799,信,0x4fe1
800,便,0x4fbf
801,便,0x4fbf
802,便,0x4fbf
803,便,0x4fbf
804,便,0x4fbf
805,便,0x4fbf
806,便,0x4fbf
807,便,0x4fbf
808,便,0x4fbf
809,便,0x4fbf
810,係,0x4fc2
811,係,0x4fc2
812,係,0x4fc2
813,係,0x4fc2
814,係,0x4fc2
815,係,0x4fc2
816,係,0x4fc2
817,係,0x4fc2
818,係,0x4fc2
819,係,0x4fc2
820,値,0x5024
821,値,0x5024
822,値,0x5024
823,値,0x5024
824,値,0x5024
825,値,0x5024
826,値,0x5024
827,値,0x5024
828,値,0x5024
829,値,0x5024
830,備,0x5099
831,備,0x5099
832,備,0x5099
833,備,0x5099
834,備,0x5099
835,備,0x5099
836,備,0x5099
837,備,0x5099
838,備,0x5099
839,備,0x5099
840,受,0x53d7
841,受,0x53d7
842,受,0x53d7
843,受,0x53d7
844,受,0x53d7
845,受,0x53d7
846,受,0x53d7
847,受,0x53d7
848,受,0x53d7
849,受,0x53d7
850,取,0x53d6
851,取,0x53d6
852,取,0x53d6
853,取,0x53d6
854,取,0x53d6
855,取,0x53d6
856,取,0x53d6
857,取,0x53d6
858,取,0x53d6
859,取,0x53d6
860,口,0x53e3
861,口,0x53e3
862,口,0x53e3
863,口,0x53e3
864,口,0x53e3
865,口,0x53e3
866,口,0x53e3
867,口,0x53e3
868,口,0x53e3
869,口,0x53e3
870,古,0x53e4
871,古,0x53e4
872,古,0x53e4
873,古,0x53e4
874,古,0x53e4
875,古,0x53e4
876,古,0x53e4
877,古,0x53e4
878,古,0x53e4
879,古,0x53e4
880,可,0x53ef
881,可,0x53ef
882,可,0x53ef
883,可,0x53ef
884,可,0x53ef
885,可,0x53ef
886,可,0x53ef
887,可,0x53ef
888,可,0x53ef
889,可,0x53ef
890,各,0x5404
891,各,0x5404
892,各,0x5404
893,各,0x5404
894,各,0x5404
895,各,0x5404
896,各,0x5404
897,各,0x5404
898,各,0x5404
899,各,0x5404
900,名,0x540d
901,名,0x540d
902,名,0x540d
903,名,0x540d
904,名,0x540d
905,名,0x540d
906,名,0x540d
907,名,0x540d
908,名,0x540d
909,名,0x540d
910,向,0x5411
911,向,0x5411
912,向,0x5411
913,向,0x5411
914,向,0x5411
915,向,0x5411
916,向,0x5411
917,向,0x5411
918,向,0x5411
919,向,0x5411
920,吉,0x5409
921,吉,0x5409
922,吉,0x5409
923,吉,0x5409
924,吉,0x5409
925,吉,0x5409
926,吉,0x5409
927,吉,0x5409
928,吉,0x5409
929,吉,0x5409
930,告,0x544a
931,告,0x544a
932,告,0x544a
933,告,0x544a
934,告,0x544a
935,告,0x544a
936,告,0x544a
937,告,0x544a
938,告,0x544a
939,告,0x544a
940,品,0x54c1
941,品,0x54c1
942,品,0x54c1
943,品,0x54c1
944,品,0x54c1
945,品,0x54c1
946,品,0x54c1
947,品,0x54c1
948,品,0x54c1
949,品,0x54c1
950,員,0x54e1
951,員,0x54e1
952,員,0x54e1
953,員,0x54e1
954,員,0x54e1
955,員,0x54e1
956,員,0x54e1
957,員,0x54e1
958,員,0x54e1
959,員,0x54e1
960,回,0x56de
961,回,0x56de
962,回,0x56de
963,回,0x56de
964,回,0x56de
965,回,0x56de
966,回,0x56de
967,回,0x56de
968,回,0x56de
969,回,0x56de
970,団,0x56e3
971,団,0x56e3
972,団,0x56e3
973,団,0x56e3
974,団,0x56e3
975,団,0x56e3
976,団,0x56e3
977,団,0x56e3
978,団,0x56e3
979,団,0x56e3
980,国,0x56fd
981,国,0x56fd
982,国,0x56fd
983,国,0x56fd
984,国,0x56fd
985,国,0x56fd
986,国,0x56fd
987,国,0x56fd
988,国,0x56fd
989,国,0x56fd
990,民,0x6c11
991,民,0x6c11
992,民,0x6c11
993,民,0x6c11
994,民,0x6c11
995,民,0x6c11
996,民,0x6c11
997,民,0x6c11
998,民,0x6c11
999,民,0x6c11
1000,園,0x5712
1001,園,0x5712
1002,園,0x5712
1003,園,0x5712
1004,園,0x5712
1005,園,0x5712
1006,園,0x5712
1007,園,0x5712
1008,園,0x5712
1009,園,0x5712
1010,土,0x571f
1011,土,0x571f
1012,土,0x571f
1013,土,0x571f
1014,土,0x571f
1015,土,0x571f
1016,土,0x571f
1017,土,0x571f
1018,土,0x571f
1019,土,0x571f
1020,在,0x5728
1021,在,0x5728
1022,在,0x5728
1023,在,0x5728
1024,在,0x5728
1025,在,0x5728
1026,在,0x5728
1027,在,0x5728
1028,在,0x5728
1029,在,0x5728
1030,報,0x5831
1031,報,0x5831
1032,報,0x5831
1033,報,0x5831
1034,報,0x5831
1035,報,0x5831
1036,報,0x5831
1037,報,0x5831
1038,報,0x5831
1039,報,0x5831
1040,場,0x5834
1041,場,0x5834
1042,場,0x5834
1043,場,0x5834
1044,場,0x5834
1045,場,0x5834
1046,場,0x5834
1047,場,0x5834
1048,場,0x5834
1049,場,0x5834
1050,増,0x5897
1051,増,0x5897
1052,増,0x5897
1053,増,0x5897
1054,増,0x5897
1055,増,0x5897
1056,増,0x5897
1057,増,0x5897
1058,増,0x5897
1059,増,0x5897
1060,声,0x58f0
1061,声,0x58f0
1062,声,0x58f0
1063,声,0x58f0
1064,声,0x58f0
1065,声,0x58f0
1066,声,0x58f0
1067,声,0x58f0
1068,声,0x58f0
1069,声,0x58f0
1070,売,0x58f2
1071,売,0x58f2
1072,売,0x58f2
1073,売,0x58f2
1074,売,0x58f2
1075,売,0x58f2
1076,売,0x58f2
1077,売,0x58f2
1078,売,0x58f2
1079,売,0x58f2
1080,工,0x5de5
1081,工,0x5de5
1082,工,0x5de5
1083,工,0x5de5
1084,工,0x5de5
1085,工,0x5de5
1086,工,0x5de5
1087,工,0x5de5
1088,工,0x5de5
1089,工,0x5de5
1090,左,0x5de6
1091,左,0x5de6
1092,左,0x5de6
1093,左,0x5de6
1094,左,0x5de6
1095,左,0x5de6
1096,左,0x5de6
1097,左,0x5de6
1098,左,0x5de6
1099,左,0x5de6
1100,常,0x5e38
1101,常,0x5e38
1102,常,0x5e38
1103,常,0x5e38
1104,常,0x5e38
1105,常,0x5e38
1106,常,0x5e38
1107,常,0x5e38
1108,常,0x5e38
1109,常,0x5e38
1110,平,0x5e73
1111,平,0x5e73
1112,平,0x5e73
1113,平,0x5e73
1114,平,0x5e73
1115,平,0x5e73
1116,平,0x5e73
1117,平,0x5e73
1118,平,0x5e73
1119,平,0x5e73
1120,広,0x5e83
1121,広,0x5e83
1122,広,0x5e83
1123,広,0x5e83
1124,広,0x5e83
1125,広,0x5e83
1126,広,0x5e83
1127,広,0x5e83
1128,広,0x5e83
1129,広,0x5e83
1130,庁,0x5e81
1131,庁,0x5e81
1132,庁,0x5e81
1133,庁,0x5e81
1134,庁,0x5e81
1135,庁,0x5e81
1136,庁,0x5e81
1137,庁,0x5e81
1138,庁,0x5e81
1139,庁,0x5e81
1140,応,0x5fdc
1141,応,0x5fdc
1142,応,0x5fdc
1143,応,0x5fdc
1144,応,0x5fdc
1145,応,0x5fdc
1146,応,0x5fdc
1147,応,0x5fdc
1148,応,0x5fdc
1149,応,0x5fdc
1150,店,0x5e97
1151,店,0x5e97
1152,店,0x5e97
1153,店,0x5e97
1154,店,0x5e97
1155,店,0x5e97
1156,店,0x5e97
1157,店,0x5e97
1158,店,0x5e97
1159,店,0x5e97
1160,席,0x5e2d
1161,席,0x5e2d
1162,席,0x5e2d
1163,席,0x5e2d
1164,席,0x5e2d
1165,席,0x5e2d
1166,席,0x5e2d
1167,席,0x5e2d
1168,席,0x5e2d
1169,席,0x5e2d
1170,度,0x5ea6
1171,度,0x5ea6
1172,度,0x5ea6
1173,度,0x5ea6
1174,度,0x5ea6
1175,度,0x5ea6
1176,度,0x5ea6
1177,度,0x5ea6
1178,度,0x5ea6
1179,度,0x5ea6
1180,建,0x5efa
1181,建,0x5efa
1182,建,0x5efa
1183,建,0x5efa
1184,建,0x5efa
1185,建,0x5efa
1186,建,0x5efa
1187,建,0x5efa
1188,建,0x5efa
1189,建,0x5efa
1190,式,0x5f0f
1191,式,0x5f0f
1192,式,0x5f0f
1193,式,0x5f0f
1194,式,0x5f0f
1195,式,0x5f0f
1196,式,0x5f0f
1197,式,0x5f0f
1198,式,0x5f0f
1199,式,0x5f0f
1200,外,0x5916
1201,外,0x5916
1202,外,0x5916
1203,外,0x5916
1204,外,0x5916
1205,外,0x5916
1206,外,0x5916
1207,外,0x5916
1208,外,0x5916
1209,外,0x5916
1210,多,0x591a
1211,多,0x591a
1212,多,0x591a
1213,多,0x591a
1214,多,0x591a
1215,多,0x591a
1216,多,0x591a
1217,多,0x591a
1218,多,0x591a
1219,多,0x591a
1220,大,0x5927
1221,大,0x5927
1222,大,0x5927
1223,大,0x5927
1224,大,0x5927
1225,大,0x5927
1226,大,0x5927
1227,大,0x5927
1228,大,0x5927
1229,大,0x5927
1230,天,0x5929
1231,天,0x5929
1232,天,0x5929
1233,天,0x5929
1234,天,0x5929
1235,天,0x5929
1236,天,0x5929
1237,天,0x5929
1238,天,0x5929
1239,天,0x5929
1240,夫,0x592b
1241,夫,0x592b
1242,夫,0x592b
1243,夫,0x592b
1244,夫,0x592b
1245,夫,0x592b
1246,夫,0x592b
1247,夫,0x592b
1248,夫,0x592b
1249,夫,0x592b
1250,女,0x5973
1251,女,0x5973
1252,女,0x5973
1253,女,0x5973
1254,女,0x5973
1255,女,0x5973
1256,女,0x5973
1257,女,0x5973
1258,女,0x5973
1259,女,0x5973
1260,委,0x59d4
1261,委,0x59d4
1262,委,0x59d4
1263,委,0x59d4
1264,委,0x59d4
1265,委,0x59d4
1266,委,0x59d4
1267,委,0x59d4
1268,委,0x59d4
1269,委,0x59d4
1270,始,0x59cb
1271,始,0x59cb
1272,始,0x59cb
1273,始,0x59cb
1274,始,0x59cb
1275,始,0x59cb
1276,始,0x59cb
1277,始,0x59cb
1278,始,0x59cb
1279,始,0x59cb
1280,婦,0x5a66
1281,婦,0x5a66
1282,婦,0x5a66
1283,婦,0x5a66
1284,婦,0x5a66
1285,婦,0x5a66
1286,婦,0x5a66
1287,婦,0x5a66
1288,婦,0x5a66
1289,婦,0x5a66
1290,子,0x5b50
1291,子,0x5b50
1292,子,0x5b50
1293,子,0x5b50
1294,子,0x5b50
1295,子,0x5b50
1296,子,0x5b50
1297,子,0x5b50
1298,子,0x5b50
1299,子,0x5b50
1300,学,0x5b66
1301,学,0x5b66
1302,学,0x5b66
1303,学,0x5b66
1304,学,0x5b66
1305,学,0x5b66
1306,学,0x5b66
1307,学,0x5b66
1308,学,0x5b66
1309,学,0x5b66
1310,校,0x6821
1311,校,0x6821
1312,校,0x6821
1313,校,0x6821
1314,校,0x6821
1315,校,0x6821
1316,校,0x6821
1317,校,0x6821
1318,校,0x6821
1319,校,0x6821
1320,引,0x5f15
1321,引,0x5f15
1322,引,0x5f15
1323,引,0x5f15
1324,引,0x5f15
1325,引,0x5f15
1326,引,0x5f15
1327,引,0x5f15
1328,引,0x5f15
1329,引,0x5f15
1330,強,0x5f37
1331,強,0x5f37
1332,強,0x5f37
1333,強,0x5f37
1334,強,0x5f37
1335,強,0x5f37
1336,強,0x5f37
1337,強,0x5f37
1338,強,0x5f37
1339,強,0x5f37
1340,張,0x5f35
1341,張,0x5f35
1342,張,0x5f35
1343,張,0x5f35
1344,張,0x5f35
1345,張,0x5f35
1346,張,0x5f35
1347,張,0x5f35
1348,張,0x5f35
1349,張,0x5f35
1350,行,0x884c
1351,行,0x884c
1352,行,0x884c
1353,行,0x884c
1354,行,0x884c
1355,行,0x884c
1356,行,0x884c
1357,行,0x884c
1358,行,0x884c
1359,行,0x884c
1360,役,0x5f79
1361,役,0x5f79
1362,役,0x5f79
1363,役,0x5f79
1364,役,0x5f79
1365,役,0x5f79
1366,役,0x5f79
1367,役,0x5f79
1368,役,0x5f79
1369,役,0x5f79
1370,持,0x6301
1371,持,0x6301
